facet	reference_apks	reference_contract	current_resolution	status	evidence
download-receiver	OLD_ONLY	DownloadManager完了Receiverで単体画像を保存	アプリ内SingleMediaSaveServiceで画像・動画を直接保存しbroadcast依存を除去	SUPERSEDED	shared/src/commonTest/kotlin/service/SingleMediaSaveServiceTest.kt#saveMedia_savesImageUnderPreviewMediaDirectory_forPathStorage;shared/src/commonTest/kotlin/service/SingleMediaSaveServiceTest.kt#saveMedia_usesContentTypeFallbackAndTreeUriStorage_forVideos
dynamic-receiver-permission	FINAL_ONLY	AndroidX動的Receiver用signature permission	動的exported Receiverを使わず対象操作を非exported Service／Activity resultへ閉じる	SUPERSEDED	app-android/src/androidTest/java/com/valoser/futacha/ExampleInstrumentedTest.kt#manifestRetainsReferenceCapabilitiesWithModernSecurityBoundaries
file-provider	BOTH	非exported FileProviderとgrantUriPermissions	アプリ固有authorityの非exported FileProviderで保存HTML・投稿previewを共有	MATCH	app-android/src/androidTest/java/com/valoser/futacha/ExampleInstrumentedTest.kt#manifestRetainsReferenceCapabilitiesWithModernSecurityBoundaries;app-android/src/androidTest/java/com/valoser/futacha/ThreadSavePlatformContractInstrumentedTest.kt#savedHtmlDocumentResolvesToTheInternalViewer
legacy-ad-components	BOTH	Google Ads Activityと旧Play Services metadata	広告ActivityとAdvertising ID権限を含めず課金は現行Billing APIへ分離	SUPERSEDED	app-android/src/androidTest/java/com/valoser/futacha/ExampleInstrumentedTest.kt#manifestRetainsReferenceCapabilitiesWithModernSecurityBoundaries
main-activity-lifecycle	BOTH	singleTopとkeyboard・orientation・screen・uiMode configChanges	現行MainActivityへ同じ変更軸とsmallestScreenSizeを設定し両モードを単一hostで保持	FIXED	app-android/src/androidTest/java/com/valoser/futacha/ExampleInstrumentedTest.kt#manifestRetainsReferenceCapabilitiesWithModernSecurityBoundaries;app-android/src/androidTest/java/com/valoser/futacha/MainActivityDeepLinkLifecycleInstrumentedTest.kt#pendingThreadIntentSurvivesActivityStateRecreation
permissions-background	FINAL_ONLY	FOREGROUND_SERVICE・WAKE_LOCK・POST_NOTIFICATIONS	foreground保存・WorkManager・通知に必要な現行権限を宣言	MATCH	app-android/src/androidTest/java/com/valoser/futacha/ExampleInstrumentedTest.kt#manifestRetainsReferenceCapabilitiesWithModernSecurityBoundaries;app-android/src/androidTest/java/com/valoser/futacha/ThreadSavePlatformContractInstrumentedTest.kt#foregroundSaveServiceAndRequiredPermissionsArePackaged
permissions-network	BOTH	INTERNET・ACCESS_NETWORK_STATE	同権限に接続判定用ACCESS_WIFI_STATEを追加	MATCH	app-android/src/androidTest/java/com/valoser/futacha/ExampleInstrumentedTest.kt#manifestRetainsReferenceCapabilitiesWithModernSecurityBoundaries
permissions-storage	BOTH	WRITE_EXTERNAL_STORAGE、1.apkはmaxSdk28	API26以上のapp-scoped storageとSAFへ移行しlegacy書込権限を除去	SUPERSEDED	app-android/src/androidTest/java/com/valoser/futacha/AndroidFileSystemInstrumentedTest.kt#defaultExternalStorageIsAppScopedAndDeclaresNoLegacyPermission
permissions-vibrate	BOTH	VIBRATE権限	参照側にもユーザー設定可能な振動契約はなく現行は振動APIを使わないため権限を除去	SUPERSEDED	app-android/src/androidTest/java/com/valoser/futacha/ExampleInstrumentedTest.kt#manifestRetainsReferenceCapabilitiesWithModernSecurityBoundaries
post-drawing-orientation	BOTH	PostDrawingActivityをlandscape固定	単一Activityの描画host在席中だけsensorLandscapeを適用し退出時に復元	FIXED	app-android/src/androidTest/java/com/valoser/futacha/CompatDrawingOrientationInstrumentedTest.kt#postDrawingRequestsSensorLandscapeLikeBothReferenceManifests
post-ime-policy	BOTH	PostBuild／PostResponseをstateAlwaysVisible	コメント欄を自動focusしIME表示を要求、ADJUST_RESIZEを適用して退出時に正確に復元	FIXED	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postScreenAppliesAndRestoresReferenceImeResizePolicy
query-intents	FINAL_ONLY	http・https browserとGET_CONTENTをqueriesへ宣言	browser・GET_CONTENT・OPEN_DOCUMENT・document tree・file managerを限定照会	MATCH	app-android/src/androidTest/java/com/valoser/futacha/UrlLauncherInstrumentedTest.kt#rememberUrlLauncher_launchesHttpsWithBrowsableViewIntent;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postAttachmentLongPressShowsTheReferenceRememberedPickerDialog
reverse-search-theme	FINAL_ONLY	ReverseImageSearchResultActivity専用Web theme	Compose内の画像検索画面と安全な外部browser launcherへ統合	SUPERSEDED	shared/src/commonTest/kotlin/ui/compat/CompatImageSearchTest.kt#referenceGoogleImageSearchAndMediaRestrictionsMatchLegacyViewer
sdk-levels	BOTH	minSdk21・targetSdk29	サポートmatrixをAPI26以上、target37へ更新しmodern storage・通知・edge-to-edge規約を使用	SUPERSEDED	app-android/src/androidTest/java/com/valoser/futacha/ExampleInstrumentedTest.kt#manifestRetainsReferenceCapabilitiesWithModernSecurityBoundaries
thread-save-service	FINAL_ONLY	non-exported dataSync foreground ThreadSaveService	non-exported dataSync foreground serviceで長時間の画像・動画保存を保護	MATCH	app-android/src/androidTest/java/com/valoser/futacha/ThreadSavePlatformContractInstrumentedTest.kt#foregroundSaveServiceAndRequiredPermissionsArePackaged
viewer-translucent-theme	BOTH	ViewerActivityをtranslucent themeで表示	同一Compose hostの全画面viewerで背面遷移・gesture・透明chromeを管理	SUPERSEDED	app-android/src/androidTest/java/com/valoser/futacha/CompatViewerGestureInstrumentedTest.kt#viewerKeepsPannedTransformWhenTheViewerRecomposes;shared/src/commonTest/kotlin/compat/CompatibilityCoreTest.kt#viewerBackReturnsToItsActualCaller
