behavior_id	feature_id	expectation	modes	platforms	level	evidence
media-large-response	media	画像が多いスレの応答を旧5MiB制限で拒否しない	BOTH	BOTH	INTEGRATION	shared/src/commonTest/kotlin/network/HttpBoardApiTest.kt#fetchThread_acceptsImageHeavyResponseBeyondLegacyFiveMiBLimit
media-cache-policy	media	大量サムネイル用キャッシュと画像・動画フォールバック候補を維持する	BOTH	BOTH	UNIT	shared/src/commonTest/kotlin/ui/image/ImageLoaderProviderTest.kt#defaultCacheConfig_supportsLargeThumbnailCollections;shared/src/commonTest/kotlin/ui/image/ImageLoaderProviderTest.kt#resolveFutabaExtensionFallbackCandidates_tries_staticAndVideoCandidatesByDefault
image-memory-pressure	media	通常時の画像寸法・画質・cache・並列度を維持し、128/256/512MiB相当とOS memory warning時だけlarge・animated・動画を含む要求の並列度とmemory cacheを段階縮小してcancel後に復帰する	BOTH	BOTH	UNIT	shared/src/commonTest/kotlin/ui/image/ImageMemoryPressureTest.kt#normalPolicyPreservesConfiguredQualityCacheAndParallelismAtEveryMemoryClass;shared/src/commonTest/kotlin/ui/image/ImageMemoryPressureTest.kt#moderateAndCriticalPressureScale128256And512MiBConditionsInStages;shared/src/commonTest/kotlin/ui/image/ImageMemoryPressureTest.kt#requestWorkloadUsesDimensionsAndMediaTypeWithoutChangingRequestedSize;shared/src/commonTest/kotlin/ui/image/ImageMemoryPressureTest.kt#pressureSerializesLargeAnimatedAndVideoWorkThenRestoresConfiguredConcurrency;shared/src/commonTest/kotlin/ui/image/ImageMemoryPressureTest.kt#cancelledHeavyWorkAndRepeatedWarningsDoNotLeakPermitsOrShortenRecovery;shared/src/androidHostTest/kotlin/ui/image/ImageMemoryPressureAndroidTest.kt#trimMemorySignalsMapToBoundedPressureLevels;shared/src/iosTest/kotlin/ui/image/ImageMemoryPressureIosTest.kt#memoryWarningIsDeliveredUntilTheMonitorCloses
android-video-reopen-cache	gallery-viewer	Android動画は96MiBの単一LRU byte cacheでRange対応／非対応のMP4・WebM再オープン通信を再利用し、404とローカルURIは従来経路を維持する	BOTH	ANDROID	ANDROID_UI	app-android/src/androidTest/java/com/valoser/futacha/AndroidVideoPlaybackCacheInstrumentedTest.kt#reopeningSmallMp4AndLargeWebmTwentyTimesUsesOneUpstreamResponse;app-android/src/androidTest/java/com/valoser/futacha/AndroidVideoPlaybackCacheInstrumentedTest.kt#repeatedSeekRangeIsCachedForRangeAndNonRangeServers;app-android/src/androidTest/java/com/valoser/futacha/AndroidVideoPlaybackCacheInstrumentedTest.kt#missingVideoIsNotCachedAsAStaleSuccess;app-android/src/androidTest/java/com/valoser/futacha/AndroidVideoPlaybackCacheInstrumentedTest.kt#localFileUriKeepsTheOriginalDirectReadPath;app-android/src/androidTest/java/com/valoser/futacha/PlatformVideoPlayerAndroidTest.kt#platformVideoPlayer_usesSymmetricTenSecondTransportControls
ios-video-native-route	gallery-viewer	iOS動画はMP4・M4V・MOVをAVPlayerへ分岐し、WebMと形式不明は従来のWKWebView経路を維持する	BOTH	IOS	UNIT	shared/src/commonTest/kotlin/ui/board/VideoPlayerSupportTest.kt#iosPlaybackBackendRoutesAppleContainersToAvPlayerAndKeepsWebmInWebView
ios-webm-thumbnail-priority	gallery-viewer	iOSのWebMサムネイルはWebView同時数1を維持し、表示要求をカタログfallbackより優先して待機中cancel後もpermitを漏らさず、CoilのUri変換後も動画Fetcherへ到達する	BOTH	IOS	UNIT	shared/src/commonTest/kotlin/ui/image/VideoThumbnailPriorityGateTest.kt#visibleWorkPassesQueuedPrefetchWithoutIncreasingConcurrency;shared/src/commonTest/kotlin/ui/image/VideoThumbnailPriorityGateTest.kt#cancelledPrefetchLeavesNoWorkOrPermitLeak;shared/src/commonTest/kotlin/ui/image/VideoThumbnailPriorityGateTest.kt#oneFourAndEightColdRequestsRemainStrictlySingleWorker;shared/src/iosTest/kotlin/ui/image/IosVideoFrameFetcherFactoryTest.kt#coilUriMappingStillRoutesSupportedVideosToTheThumbnailFetcher
catalog-thumbnail-quality	catalog	低画質設定はcat画像、通常設定はthumb画像を使い分け、携帯回線時は1.apkと同じ従量制判定に従い、設定変更後に低解像度キャッシュを表示し続けない	TOSHIAKI_COMPAT	BOTH	UNIT	shared/src/commonTest/kotlin/compat/CompatMediaSupportTest.kt#catalogLowQualityUsesSeparateCatUrlAndReturnsToThumb;shared/src/commonTest/kotlin/compat/CompatMediaSupportTest.kt#catalogMobileEcoUsesTheFinalApkMeteredPolicy
gallery-classification	gallery-viewer	画像・動画を添付一覧へ欠落なく分類し拡張子を表示する	BOTH	BOTH	UNIT	shared/src/commonTest/kotlin/ui/board/ThreadAttachmentGallerySupportTest.kt#buildThreadAttachmentGalleryItems_assigns_expected_badges
gallery-reference-interaction	gallery-viewer	としあき仮の画像一覧は正方形Fit表示・形式バッジ・sample同順メニューを維持し、保存モードでは画像・動画の複数選択とZIP／フォルダ一括保存を提供する	TOSHIAKI_COMPAT	ANDROID	ANDROID_UI	shared/src/commonTest/kotlin/compat/CompatMediaSupportTest.kt#gallerySaveModeSelectsMediaForZipOrFolderBatchSave;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#galleryMatchesApkSquareGridSaveModeAndOverflowCommands
gallery-apng-marker	gallery-viewer	PNGのAPNG判定は先頭1MiB以内のacTLだけを読みIDAT後を誤判定しない	TOSHIAKI_COMPAT	BOTH	UNIT	shared/src/commonTest/kotlin/compat/CompatMediaSupportTest.kt#apngMarkerDetectionIsBoundedAndStopsBeforeImageData
viewer-reverse-search-browser	gallery-viewer	類似画像検索の結果はsample同様にアプリ内で表示し、戻る・進む・閉じる・外部ブラウザを備え危険URLを拒否する	TOSHIAKI_COMPAT	BOTH	UNIT	shared/src/commonTest/kotlin/compat/CompatMediaSupportTest.kt#reverseImageSearchBrowserAcceptsOnlyBoundedHttpUrls
